"gene","logFC","logCPM","F","PValue","FDR"
"NPTX2",4.75490100152425,8.59602007544738,547.485946140203,1.93742970917127e-15,8.80178237183671e-12
"TM4SF4",-5.64876490233717,11.0253199845368,668.815327752988,3.36781418474716e-15,8.80178237183671e-12
"LOXL4",-6.32010199835214,8.61918292031327,544.534143975852,5.33656739329378e-15,9.29807925491552e-12
"GSN",4.02028739710447,8.14327908821483,534.383737710984,4.49693194057878e-14,5.87636581335133e-11
"IRX2",-7.00829430705071,8.03053797237264,276.447347920966,1.28428134965665e-13,1.34258772293106e-10
"HADH",5.82127055548189,9.18761878119131,392.665192674398,2.46397614116797e-13,2.1465338816475e-10
"TTR",-3.82711390085003,15.0604221164411,435.517220783443,3.87120239665307e-13,2.89068213247223e-10
"FXYD3",-3.62267919837945,7.26350151915704,335.275635649281,4.56917827218002e-13,2.98538685358562e-10
"TMEM176B",-3.16965224782707,9.7163629398629,404.860225155914,6.93548918535909e-13,4.02797799687466e-10
"SYT13",3.13244819028474,7.81824927595679,309.592650964566,1.58420367084591e-12,8.25553488115223e-10
"ARX",-5.90110079400579,7.12047229762244,232.023117179344,1.73734233198153e-12,8.25553488115223e-10
"GLS",-3.15204389157663,8.6358914141885,326.950619876799,3.7077107546726e-12,1.49007464777525e-09
"SPTSSB",-5.40131731173241,6.32779157035378,195.306378078944,3.83291319576835e-12,1.49007464777525e-09
"TMEM176A",-3.31182512424553,9.0959214246873,323.791087395962,3.99101684883366e-12,1.49007464777525e-09
"FXYD5",-4.21698235533269,8.46928330967711,257.668446319846,4.8562538782334e-12,1.69224260143506e-09
"RGS4",-3.41829221837728,9.02617856595372,305.093710531226,6.44691214344387e-12,1.9923788582379e-09
"KCTD12",-4.35974903606674,7.8497993664353,250.547696319444,6.69799675933737e-12,1.9923788582379e-09
"PCSK2",-2.41545982314507,10.9008296399868,300.91807113321,6.86107125469336e-12,1.9923788582379e-09
"PRSS23",3.87086551434854,7.5960694513121,265.23672451206,7.29862693341996e-12,2.0078906832098e-09
"SORL1",2.93101642806239,8.39500741886912,261.890521875604,1.06729019484539e-11,2.78936292422842e-09
"SYNE2",3.03919428430304,7.49185983572672,199.965381063526,1.89776531880477e-11,4.72362824828217e-09
"BHLHE41",5.01509052605718,5.81262958607466,180.681687372565,1.9984895454668e-11,4.74822947916134e-09
"FEV",-4.91407085961189,7.24658359802349,213.126734132568,2.50466577771961e-11,5.69212522614801e-09
"FAM84A",-4.45505754878948,6.52146725642805,177.077326737469,3.13117895886568e-11,6.81944684082955e-09
"LDHA",-4.10350892439557,7.83541088268642,194.594243024364,3.27307538442178e-11,6.84334601374905e-09
"TGFBR3",6.26868648645648,6.42968094378823,152.102829301705,4.81514044374631e-11,9.68028426902384e-09
"TJP2",-5.2458675506138,5.64009979137316,136.777997219549,5.76495234583373e-11,1.1160520708027e-08
"FABP5",-4.6930295886199,7.3125163747396,173.37913832682,6.24962184460947e-11,1.16667047792049e-08
"FAM159B",3.28798683885176,7.02548952200374,190.67721553586,7.84495441704023e-11,1.35203959883303e-08
