"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.34771165735408e-145,5.71152682753164,0.871,0.023,2.15606910943505e-141,"5","Pbk"
2.58349436778725e-126,5.6772478116922,0.882,0.045,4.13307428958604e-122,"5","Top2a"
1.81273987520703e-122,5.80709855687203,1,0.094,2.9000212523562e-118,"5","2810417H13Rik"
1.89436456402651e-122,6.3213760000901,0.71,0.015,3.03060442952961e-118,"5","Aurkb"
1.17797000732209e-113,3.07464930532572,0.981,0.207,1.88451641771388e-109,"1","Anxa2"
4.55590248155111e-113,4.99106068134033,0.731,0.023,7.28853278998546e-109,"5","Asf1b"
1.52128170924812e-105,5.09519470979415,0.742,0.033,2.43374647845514e-101,"5","Mki67"
1.65949361734601e-105,4.87235230601579,0.72,0.027,2.65485788903015e-101,"5","Incenp"
1.72615934863269e-105,5.71639961292061,0.642,0.024,2.76150972594257e-101,"3","Irx2"
2.61334665331917e-104,4.666251143807,0.957,0.102,4.18083197598001e-100,"5","Cdk1"
2.38319399227468e-103,4.31668939507187,0.914,0.079,3.81263374884104e-99,"5","Tk1"
5.88972319168231e-103,2.91473075555645,0.926,0.158,9.42237916205337e-99,"1","Adamts1"
1.70090416090468e-100,6.37151716777956,0.591,0.012,2.72110647661531e-96,"5","Nusap1"
4.05526448651548e-98,4.37749999477531,0.806,0.056,6.48761212552746e-94,"5","Ccna2"
8.07928651242339e-98,3.33861646118001,0.851,0.143,1.29252425625749e-93,"1","Cyr61"
1.09735999520304e-96,2.91027290292453,0.907,0.182,1.75555652032582e-92,"1","Gsta3"
2.05057174524764e-96,2.68692326895962,0.935,0.19,3.28050467804717e-92,"1","1700011H14Rik"
2.51365845004625e-96,4.68789266645509,0.645,0.021,4.021350788384e-92,"5","Melk"
3.86487356339059e-96,5.22748628509282,0.581,0.012,6.18302472671226e-92,"5","Sgol1"
7.41413428869138e-96,4.9231778291078,0.581,0.012,1.18611320350485e-91,"5","Cdca2"
6.12493576908268e-95,7.55073186906941,0.495,0.003,9.79867224337847e-91,"5","Hist1h1b"
9.10207635389444e-95,2.64090502479439,1,0.386,1.45615017509603e-90,"1","Spp1"
2.60865255385839e-94,4.5481132210345,0.806,0.064,4.17332235566266e-90,"5","Cdca8"
1.18670767174404e-93,2.67026496343742,0.967,0.258,1.89849493325611e-89,"1","Bicc1"
6.09595437787388e-93,5.15685135550908,0.645,0.026,9.75230781372264e-89,"5","Prc1"
6.16387311797239e-93,3.56305536932751,0.79,0.132,9.86096421413223e-89,"0","Pax4"
7.06309389990532e-93,5.39260042192592,0.613,0.02,1.12995376210685e-88,"5","Plk1"
7.68569186977335e-93,6.15877504154275,0.552,0.017,1.22955698532634e-88,"2","Sytl4"
1.74821383504605e-92,7.71808689748059,0.462,0.001,2.79679249330666e-88,"5","Esco2"
7.06732351087514e-92,5.67527353913072,0.57,0.015,1.1306304152698e-87,"5","Clspn"
1.01373762267397e-91,3.58195948543825,0.749,0.098,1.62177744875381e-87,"1","Dcdc2a"
2.1554730393033e-91,4.82806327597531,0.656,0.029,3.44832576827742e-87,"5","Tpx2"
3.28514207660061e-91,4.79563991341339,0.724,0.08,5.25557029414566e-87,"2","Ppp1r1a"
1.64745346429015e-89,3.62352608009709,0.939,0.27,2.63559605217138e-85,"2","Gng12"
3.94702288741935e-88,2.27076446397703,0.995,0.491,6.31444721529348e-84,"1","Cldn3"
1.3969603819781e-87,5.54853521680077,0.527,0.011,2.23485721908856e-83,"5","Ska1"
1.52555353068134e-87,8.63413840373051,0.632,0.053,2.44058053838401e-83,"2","Ins2"
2.81979014235142e-87,3.59074241508234,0.938,0.252,4.5111002697338e-83,"3","Tmem27"
1.92281416295134e-86,3.8352020605557,0.806,0.068,3.07611809788955e-82,"5","Cenpm"
2.41159148049156e-86,5.85198850710104,0.495,0.008,3.85806405049039e-82,"5","Ckap2l"
